DATE,GDP,RGDP
1992-01-31,6315.892,9486.357
1992-02-29,6356.405,9527.533
1992-03-31,6417.009,9606.143
1992-04-30,6443.254,9612.489
1992-05-31,6433.986,9594.652
1992-06-30,6535.049,9723.168
1992-07-31,6557.533,9740.577
1992-08-31,6556.627,9720.763
1992-09-30,6585.763,9754.881
1992-10-31,6637.308,9809.700
1992-11-30,6680.254,9837.504
1992-12-31,6724.848,9873.595
1993-01-31,6717.724,9858.487
1993-02-28,6741.534,9874.087
1993-03-31,6729.118,9837.497
1993-04-30,6768.321,9876.149
1993-05-31,6824.202,9934.509
1993-06-30,6834.294,9931.502
1993-07-31,6832.982,9909.866
1993-08-31,6873.972,9949.108
1993-09-30,6939.340,10025.098
1993-10-31,6944.711,10022.884
1993-11-30,7036.002,10120.829
1993-12-31,7060.500,10146.854
1994-01-31,7074.466,10146.017
1994-02-28,7122.958,10202.435
1994-03-31,7149.533,10236.040
1994-04-30,7186.286,10270.568
1994-05-31,7290.266,10369.544
1994-06-30,7264.241,10358.794
1994-07-31,7299.037,10361.488
1994-08-31,7351.721,10432.109
1994-09-30,7342.468,10386.690
1994-10-31,7429.130,10481.833
1994-11-30,7431.809,10475.696
1994-12-31,7504.925,10580.271
1995-01-31,7542.180,10582.820
1995-02-28,7488.285,10506.333
1995-03-31,7536.402,10560.808
1995-04-30,7538.949,10528.381
1995-05-31,7560.866,10557.831
1995-06-30,7643.175,10658.586
1995-07-31,7630.478,10605.777
1995-08-31,7674.120,10664.017
1995-09-30,7744.777,10745.181
1995-10-31,7747.398,10698.948
1995-11-30,7747.696,10717.292
1995-12-31,7822.664,10816.670
1996-01-31,7840.432,10794.608
1996-02-29,7852.857,10811.185
1996-03-31,7912.115,10869.255
1996-04-30,8025.064,11013.007
1996-05-31,8009.413,10976.933
1996-06-30,8064.043,11026.734
1996-07-31,8099.332,11067.536
1996-08-31,8122.935,11099.868
1996-09-30,8171.957,11144.941
1996-10-31,8251.074,11219.542
1996-11-30,8281.779,11241.284
1996-12-31,8246.460,11197.358
1997-01-31,8309.341,11263.898
1997-02-28,8385.548,11343.255
1997-03-31,8393.076,11268.276
1997-04-30,8512.120,11519.256
1997-05-31,8476.282,11409.266
1997-06-30,8568.073,11509.880
1997-07-31,8620.793,11602.839
1997-08-31,8655.772,11632.667
1997-09-30,8711.904,11633.627
1997-10-31,8747.990,11708.542
1997-11-30,8736.432,11684.408
1997-12-31,8813.299,11775.566
1998-01-31,8772.576,11713.360
1998-02-28,8894.376,11886.206
1998-03-31,8932.488,11920.336
1998-04-30,8925.742,11895.248
1998-05-31,8952.671,11924.861
1998-06-30,9030.684,12028.476
1998-07-31,9050.708,12004.168
1998-08-31,9100.028,12065.034
1998-09-30,9212.555,12228.212
1998-10-31,9267.030,12271.163
1998-11-30,9307.453,12320.840
1998-12-31,9307.490,12292.005
