DATE,Mb,M4,r
1992-01-31,303300.0,2531.6,4.03
1992-02-29,301700.0,2581.6,4.06
1992-03-31,302800.0,2609.66,3.98
1992-04-30,305500.0,2626.8,3.73
1992-05-31,308100.0,2651.3,3.82
1992-06-30,310500.0,2665.28,3.76
1992-07-31,313500.0,2684.025,3.25
1992-08-31,315800.0,2713.7,3.3
1992-09-30,318500.0,2740.45,3.22
1992-10-31,320400.0,2753.425,3.1
1992-11-30,324400.0,2774.6400000000003,3.09
1992-12-31,330500.0,2778.875,2.92
1993-01-31,330300.0,2773.4749999999995,3.02
1993-02-28,329500.0,2787.175,3.03
1993-03-31,331600.0,2791.82,3.07
1993-04-30,335400.0,2793.775,2.96
1993-05-31,338600.0,2835.38,3.0
1993-06-30,343000.0,2846.25,3.04
1993-07-31,346200.0,2849.55,3.06
1993-08-31,348200.0,2861.9800000000005,3.03
1993-09-30,351100.0,2875.7250000000004,3.09
1993-10-31,353300.0,2884.1,2.99
1993-11-30,356600.0,2906.74,3.02
1993-12-31,362400.0,2920.95,2.96
1994-01-31,362900.0,2921.62,3.05
1994-02-28,363800.0,2917.375,3.25
1994-03-31,366800.0,2928.5,3.34
1994-04-30,370900.0,2935.6000000000004,3.56
1994-05-31,374200.0,2941.6400000000003,4.01
1994-06-30,379100.0,2925.5,4.25
1994-07-31,383100.0,2928.75,4.26
1994-08-31,384300.0,2923.54,4.47
1994-09-30,386600.0,2915.575,4.73
1994-10-31,389000.0,2910.6400000000003,4.76
1994-11-30,393600.0,2904.875,5.29
1994-12-31,399000.0,2895.525,5.45
1995-01-31,399200.0,2889.7400000000002,5.53
1995-02-28,396700.0,2864.2250000000004,5.92
1995-03-31,400600.0,2852.1,5.98
1995-04-30,405100.0,2845.65,6.05
1995-05-31,408200.0,2863.72,6.01
1995-06-30,409400.0,2893.45,6.0
1995-07-31,410700.0,2913.18,5.85
1995-08-31,410400.0,2933.325,5.74
1995-09-30,411100.0,2945.925,5.8
1995-10-31,411500.0,2957.88,5.76
1995-11-30,413800.0,2965.075,5.8
1995-12-31,419700.0,2972.925,5.6
1996-01-31,417800.0,2997.04,5.56
1996-02-29,412900.0,3014.3999999999996,5.22
1996-03-31,416000.0,3049.55,5.31
1996-04-30,418200.0,3062.9000000000005,5.22
1996-05-31,420000.0,3075.5,5.24
1996-06-30,423700.0,3093.4500000000003,5.27
1996-07-31,428100.0,3115.3599999999997,5.4
1996-08-31,429700.0,3126.7250000000004,5.22
1996-09-30,431700.0,3137.62,5.3
1996-10-31,432700.0,3156.425,5.24
1996-11-30,437100.0,3178.4,5.31
1996-12-31,444300.0,3207.9199999999996,5.29
1997-01-31,443300.0,3226.55,5.25
1997-02-28,441000.0,3242.775,5.19
1997-03-31,443500.0,3266.62,5.39
1997-04-30,445900.0,3283.975,5.51
1997-05-31,448700.0,3292.7250000000004,5.5
1997-06-30,451900.0,3316.6,5.56
1997-07-31,455800.0,3339.775,5.52
1997-08-31,456700.0,3371.875,5.54
1997-09-30,458600.0,3402.12,5.54
1997-10-31,460700.0,3425.45,5.5
1997-11-30,466900.0,3448.275,5.52
1997-12-31,475400.0,3476.2399999999993,5.5
1998-01-31,474100.0,3508.3500000000004,5.56
1998-02-28,471700.0,3539.25,5.51
1998-03-31,473800.0,3578.1399999999994,5.49
