DATE,Mb,M4,GDP,RGDP,r
1/31/92,303300,2531.6,6315.892,9486.357,4.03
2/29/92,301700,2581.6,6356.405,9527.533,4.06
3/31/92,302800,2609.66,6417.009,9606.143,3.98
4/30/92,305500,2626.8,6443.254,9612.489,3.73
5/31/92,308100,2651.3,6433.986,9594.652,3.82
6/30/92,310500,2665.28,6535.049,9723.168,3.76
7/31/92,313500,2684.025,6557.533,9740.577,3.25
8/31/92,315800,2713.7,6556.627,9720.763,3.3
9/30/92,318500,2740.45,6585.763,9754.881,3.22
10/31/92,320400,2753.425,6637.308,9809.7,3.1
11/30/92,324400,2774.64,6680.254,9837.504,3.09
12/31/92,330500,2778.875,6724.848,9873.595,2.92
1/31/93,330300,2773.475,6717.724,9858.487,3.02
2/28/93,329500,2787.175,6741.534,9874.087,3.03
3/31/93,331600,2791.82,6729.118,9837.497,3.07
4/30/93,335400,2793.775,6768.321,9876.149,2.96
5/31/93,338600,2835.38,6824.202,9934.509,3
6/30/93,343000,2846.25,6834.294,9931.502,3.04
7/31/93,346200,2849.55,6832.982,9909.866,3.06
8/31/93,348200,2861.98,6873.972,9949.108,3.03
9/30/93,351100,2875.725,6939.34,10025.098,3.09
10/31/93,353300,2884.1,6944.711,10022.884,2.99
11/30/93,356600,2906.74,7036.002,10120.829,3.02
12/31/93,362400,2920.95,7060.5,10146.854,2.96
1/31/94,362900,2921.62,7074.466,10146.017,3.05
2/28/94,363800,2917.375,7122.958,10202.435,3.25
3/31/94,366800,2928.5,7149.533,10236.04,3.34
4/30/94,370900,2935.6,7186.286,10270.568,3.56
5/31/94,374200,2941.64,7290.266,10369.544,4.01
6/30/94,379100,2925.5,7264.241,10358.794,4.25
7/31/94,383100,2928.75,7299.037,10361.488,4.26
8/31/94,384300,2923.54,7351.721,10432.109,4.47
9/30/94,386600,2915.575,7342.468,10386.69,4.73
10/31/94,389000,2910.64,7429.13,10481.833,4.76
11/30/94,393600,2904.875,7431.809,10475.696,5.29
12/31/94,399000,2895.525,7504.925,10580.271,5.45
1/31/95,399200,2889.74,7542.18,10582.82,5.53
2/28/95,396700,2864.225,7488.285,10506.333,5.92
3/31/95,400600,2852.1,7536.402,10560.808,5.98
4/30/95,405100,2845.65,7538.949,10528.381,6.05
5/31/95,408200,2863.72,7560.866,10557.831,6.01
6/30/95,409400,2893.45,7643.175,10658.586,6
7/31/95,410700,2913.18,7630.478,10605.777,5.85
8/31/95,410400,2933.325,7674.12,10664.017,5.74
9/30/95,411100,2945.925,7744.777,10745.181,5.8
10/31/95,411500,2957.88,7747.398,10698.948,5.76
11/30/95,413800,2965.075,7747.696,10717.292,5.8
12/31/95,419700,2972.925,7822.664,10816.67,5.6
1/31/96,417800,2997.04,7840.432,10794.608,5.56
2/29/96,412900,3014.4,7852.857,10811.185,5.22
3/31/96,416000,3049.55,7912.115,10869.255,5.31
4/30/96,418200,3062.9,8025.064,11013.007,5.22
5/31/96,420000,3075.5,8009.413,10976.933,5.24
6/30/96,423700,3093.45,8064.043,11026.734,5.27
7/31/96,428100,3115.36,8099.332,11067.536,5.4
8/31/96,429700,3126.725,8122.935,11099.868,5.22
9/30/96,431700,3137.62,8171.957,11144.941,5.3
10/31/96,432700,3156.425,8251.074,11219.542,5.24
11/30/96,437100,3178.4,8281.779,11241.284,5.31
12/31/96,444300,3207.92,8246.46,11197.358,5.29
1/31/97,443300,3226.55,8309.341,11263.898,5.25
2/28/97,441000,3242.775,8385.548,11343.255,5.19
3/31/97,443500,3266.62,8393.076,11268.276,5.39
4/30/97,445900,3283.975,8512.12,11519.256,5.51
5/31/97,448700,3292.725,8476.282,11409.266,5.5
6/30/97,451900,3316.6,8568.073,11509.88,5.56
7/31/97,455800,3339.775,8620.793,11602.839,5.52
8/31/97,456700,3371.875,8655.772,11632.667,5.54
9/30/97,458600,3402.12,8711.904,11633.627,5.54
10/31/97,460700,3425.45,8747.99,11708.542,5.5
11/30/97,466900,3448.275,8736.432,11684.408,5.52
12/31/97,475400,3476.24,8813.299,11775.566,5.5
1/31/98,474100,3508.35,8772.576,11713.36,5.56
2/28/98,471700,3539.25,8894.376,11886.206,5.51
3/31/98,473800,3578.14,8932.488,11920.336,5.49
4/30/98,476200,3620.5,8925.742,11895.248,5.45
5/31/98,478900,3655.025,8952.671,11924.861,5.49
6/30/98,481500,3693.54,9030.684,12028.476,5.56
7/31/98,485900,3722.85,9050.708,12004.168,5.54
8/31/98,488300,3764.86,9100.028,12065.034,5.55
9/30/98,492500,3822.9,9212.555,12228.212,5.51
10/31/98,496400,3879.1,9267.03,12271.163,5.07
11/30/98,502700,3943.18,9307.453,12320.84,4.83
12/31/98,510500,3989.45,9307.49,12292.005,4.68
1/31/99,510500,4019.975,9357.029,12325.458,4.63
2/28/99,510600,4065,9411.125,12419.734,4.76
3/31/99,514900,4077.14,9466.892,12487.006,4.81
4/30/99,519200,4123.825,9496.414,12485.985,4.74
5/31/99,523600,4156.08,9534.492,12526.141,4.74
6/30/99,528400,4185.6,9547.724,12531.079,4.76
7/31/99,533900,4206.775,9660.916,12642.911,4.99
8/31/99,536500,4235,9660.168,12676.335,5.07
9/30/99,542100,4250.4,9738.795,12720.567,5.22
10/31/99,551000,4276.325,9814.119,12781.475,5.2
11/30/99,569500,4313.9,9891.783,12874.129,5.42
12/31/99,599900,4346.675,9994.605,13008.714,5.3
1/31/00,589000,4395.64,9922.38,12871.786,5.45
2/29/00,565700,4395.275,9999.184,12933.568,5.73
3/31/00,563700,4430.075,10084.973,13000.052,5.85
4/30/00,564700,4484.3,10225.873,13172.812,6.02
5/31/00,566000,4477.24,10228.73,13148.951,6.27
6/30/00,568600,4489.7,10288.557,13189.962,6.53
7/31/00,570800,4522.98,10234.356,13101.626,6.54
8/31/00,569800,4560.05,10336.682,13208.633,6.5
9/30/00,570200,4607.6,10383.457,13240.637,6.52
10/31/00,571500,4631.26,10425.306,13265.764,6.51
11/30/00,575900,4643.2,10447.167,13266.49,6.51
12/31/00,584300,4689.575,10434.759,13254.327,6.4
1/31/01,584500,4777.76,10467.18,13247.138,5.98
