DATE,Monetary Base,Currency in Circulation,Gross Domestic Product,Real Gross Domestic Product,U.S. / Euro Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate
1959-03-31,50000.0,,510.33,3123.978,,
1959-06-30,50166.666666666664,,522.653,3194.429,,
1959-09-30,50733.333333333336,,525.034,3196.683,,
1959-12-31,51033.333333333336,,528.6,3205.79,,
1960-03-31,49933.333333333336,,542.648,3277.847,,
1960-06-30,49800.0,,541.08,3260.177,,
1960-09-30,50233.333333333336,,545.604,3276.133,,
1960-12-31,50066.666666666664,,540.197,3234.087,,
1961-03-31,48633.333333333336,,545.018,3255.914,,
1961-06-30,48633.333333333336,,555.545,3311.181,,
1961-09-30,49366.666666666664,,567.664,3374.742,,
1961-12-31,50600.0,,580.612,3440.924,,
1962-03-31,50133.333333333336,,594.013,3502.298,,
1962-06-30,50600.0,,600.366,3533.947,,
1962-09-30,51266.666666666664,,609.027,3577.362,,
1962-12-31,51733.333333333336,,612.28,3589.128,,
1963-03-31,51266.666666666664,,621.672,3628.306,,
1963-06-30,51800.0,,629.752,3669.02,,
1963-09-30,52766.666666666664,,644.444,3749.681,,
1963-12-31,53933.333333333336,,653.938,3774.264,,
1964-03-31,53833.333333333336,,669.822,3853.835,,
1964-06-30,54433.333333333336,,678.674,3895.793,,
1964-09-30,55566.666666666664,,692.031,3956.657,,
1964-12-31,56900.0,,697.319,3968.878,,
1965-03-31,56766.666666666664,,717.79,4064.915,,
1965-06-30,57366.666666666664,,730.191,4116.267,,
1965-09-30,58400.0,,749.323,4207.782,,
1965-12-31,59900.0,,771.857,4304.731,,
1966-03-31,60066.666666666664,,795.734,4409.518,,
1966-06-30,60733.333333333336,,804.981,4424.581,,
1966-09-30,62066.666666666664,,819.638,4462.053,,
1966-12-31,63266.666666666664,,833.302,4498.66,,
1967-03-31,63433.333333333336,,844.17,4538.498,,
1967-06-30,63566.666666666664,,848.983,4541.28,,
1967-09-30,64900.0,,865.233,4584.246,,
1967-12-31,66733.33333333333,,881.439,4618.812,,
1968-03-31,67466.66666666667,,909.387,4713.013,,
1968-06-30,68333.33333333333,,934.344,4791.758,,
1968-09-30,69866.66666666667,,950.825,4828.892,,
1968-12-31,71866.66666666667,,968.03,4847.885,,
1969-03-31,72233.33333333333,,993.337,4923.76,,
1969-06-30,73100.0,,1009.02,4938.728,,
1969-09-30,73766.66666666667,,1029.956,4971.349,,
1969-12-31,75600.0,,1038.147,4947.104,,
1970-03-31,75633.33333333333,,1051.2,4939.759,,
1970-06-30,76600.0,,1067.375,4946.77,,
1970-09-30,78300.0,,1086.059,4992.357,,
1970-12-31,79733.33333333333,,1088.608,4938.857,,
1971-03-31,80866.66666666667,,1135.156,5072.996,,2.414172131147541
1971-06-30,82300.0,,1156.271,5100.447,,2.4184687499999993
1971-09-30,84233.33333333333,,1177.675,5142.422,,2.4412762711864398
1971-12-31,85666.66666666667,,1190.297,5154.547,,2.5041737704918026
1972-03-31,86666.66666666667,,1230.609,5249.337,,2.597953125000002
1972-06-30,88433.33333333333,,1266.369,5368.485,,2.5968453125000006
1972-09-30,90133.33333333333,,1290.566,5419.184,,2.445550793650793
1972-12-31,91100.0,,1328.904,5509.926,,2.3637116666666667
1973-03-31,91033.33333333333,,1377.49,5646.286,,2.4180725806451617
1973-06-30,93133.33333333333,,1413.887,5707.755,,2.5301640625
1973-09-30,95866.66666666667,,1433.838,5677.738,,2.4789650793650795
1973-12-31,98633.33333333333,,1476.289,5731.632,,2.3786901639344267
1974-03-31,99700.0,,1491.209,5682.353,,2.2791639344262293
1974-06-30,102700.0,,1530.056,5695.859,,2.39771875
1974-09-30,105133.33333333333,,1560.026,5642.025,,2.351642187500001
1974-12-31,107066.66666666667,,1599.679,5620.126,,2.329431147540983
1975-03-31,106300.0,,1616.116,5551.713,,2.3913557377049184
1975-06-30,107400.0,,1651.853,5591.382,,2.3245703124999992
1975-09-30,109266.66666666667,,1709.82,5687.087,,2.1283156250000004
1975-12-31,111300.0,,1761.831,5763.665,,2.0419524590163927
1976-03-31,111266.66666666667,,1820.487,5893.276,,1.996056451612903
1976-06-30,113700.0,,1852.332,5936.515,,1.8060249999999995
1976-09-30,115566.66666666667,,1886.558,5969.089,,1.7652953124999995
1976-12-31,118400.0,,1934.273,6012.356,,1.6529193548387098
1977-03-31,118733.33333333333,,1988.648,6083.391,,1.713611111111111
1977-06-30,121133.33333333333,,2055.909,6201.659,,1.7188796874999996
1977-09-30,124233.33333333333,,2118.473,6313.559,,1.735673015873016
1977-12-31,127733.33333333333,,2164.27,6313.697,,1.8150933333333328
1978-03-31,129333.33333333333,,2202.76,6333.848,,1.9254806451612902
1978-06-30,132366.66666666666,,2331.633,6578.605,,1.8345515624999995
1978-09-30,135700.0,,2395.053,6644.754,,1.9320999999999997
1978-12-31,141000.0,,2476.949,6734.069,,1.9851754098360663
1979-03-31,142733.33333333334,,2526.61,6746.176,,2.0165225806451614
1979-06-30,144933.33333333334,,2591.247,6753.389,,2.0810156249999996
1979-09-30,148766.66666666666,,2667.565,6803.558,,2.2323285714285714
1979-12-31,154000.0,,2723.883,6820.572,,2.159763934426229
1980-03-31,154966.66666666666,,2789.842,6842.024,,2.251583870967742
1980-06-30,158233.33333333334,,2797.352,6701.046,,2.281303125000001
1980-09-30,159233.33333333334,,2856.483,6693.082,,2.381453125
1980-12-31,162100.0,,2985.557,6817.903,,2.3847885245901645
1981-03-31,159966.66666666666,,3124.206,6951.495,,2.3091163934426224
1981-06-30,163166.66666666666,,3162.532,6899.98,,2.0788531249999997
1981-09-30,165600.0,,3260.609,6982.609,,1.8373599999999997
1981-12-31,167633.33333333334,,3280.818,6906.529,,1.8815213114754095
1982-03-31,167833.33333333334,,3274.302,6799.233,,1.8440590163934434
