DATE,Inflation
Jan/1/1986,6.85681219
Jan/1/1987,5.822666962
Jan/1/1988,5.756464011
Jan/1/1989,7.146095256
Jan/1/1990,6.999092533
Jan/1/1991,8.127416115
Jan/1/1992,8.998469367
Jan/1/1993,7.713921684
Jan/1/1994,7.505394191
Jan/1/1995,10.31720449
Jan/1/1996,9.153853475
Jan/1/1997,6.550973361
Jan/1/1998,5.572257111
Jan/1/1999,5.110249545
Jan/1/2000,3.079499126
Jan/1/2001,3.494464976
Jan/1/2002,3.838284639
Jan/1/2003,2.981574539
Jan/1/2004,3.032139473
Jan/1/2005,3.382646819
Jan/1/2006,4.112183912
Jan/1/2007,4.282396048
Jan/1/2008,4.816767674
Jan/1/2009,8.952970203
Jan/1/2010,2.936231536
Jan/1/2011,3.338979636
Jan/1/2012,4.82239636
Jan/1/2013,3.725326661
Jan/1/2014,2.621050017
Jan/1/2015,2.346268657
Jan/1/2016,1.434317634
Jan/1/2017,1.550016417
Jan/1/2018,2.19201011
Jan/1/2019,2.421303633
Jan/1/2020,2.186901545
Jan/1/2021,1.936941267
