ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,RGDP Per Capita Lag,Log RGDP Per Capita,Log RGDP Per Capita Lag,North America,Inflation
ALB,1/1/14,-0.05289625,-0.02221953,-0.336748469,0.043694268,0.099511899,-0.048719418,-224,-310,-0.022581605,-0.03043329,0,2.621050017
ALB,1/1/13,-0.197244599,-0.074133203,-0.122957874,0.06162272,-0.502859448,-0.347895191,-148,-224,-0.015204731,-0.022581605,0,3.725326661
ALB,1/1/12,-0.057193126,0.288470624,-0.072290369,0.019798176,-0.59034885,0.068404791,-68,-148,-0.00706423,-0.015204731,0,4.82239636
ALB,1/1/11,0.048732039,-0.275409128,0.403390329,0.064519395,0.003520515,0.047639085,-108,-68,-0.01132325,-0.00706423,0,3.338979636
ALB,1/1/10,-0.000338152,0.018698509,0.380980752,-0.050237329,0.127980999,-0.479113693,-212,-108,-0.022607062,-0.01132325,0,2.936231536
ALB,1/1/09,-0.066869255,-0.053715711,0.288017041,-0.092001307,-0.003387473,-0.473258826,-318,-212,-0.034898746,-0.022607062,0,8.952970203
ALB,1/1/08,-0.037603976,0.403925309,-0.231539111,-0.237679931,-0.391745741,0.269019596,-295,-318,-0.033501117,-0.034898746,0,4.816767674
ALB,1/1/07,-0.018173962,0.443636347,-0.336135484,0.029114099,-0.067136648,-0.160348124,-624,-295,-0.074792243,-0.033501117,0,4.282396048
ALB,1/1/06,-0.109409738,-0.5937229,-0.161961406,0.148167335,-0.046717912,0.10718619,-490,-624,-0.062921907,-0.074792243,0,4.112183912
ALB,1/1/05,-0.163019772,-0.008772239,-0.103884889,0.067501527,-0.410464175,-0.359479083,-465,-490,-0.063611185,-0.062921907,0,3.382646819
ALB,1/1/04,-0.126900206,-0.633499689,-0.168007358,0.022612537,-0.05681558,0.201209061,-417,-465,-0.060704074,-0.063611185,0,3.032139473
ALB,1/1/03,0.173001457,0.434782451,0.191717372,0.144005452,0.001843522,0.092658489,-398,-417,-0.061591245,-0.060704074,0,2.981574539
ALB,1/1/02,-0.515690479,-0.131818719,0.024429701,-2.783634831,0.007486147,0.305085308,-382,-398,-0.062911752,-0.061591245,0,3.838284639
ALB,1/1/01,-0.193778116,-0.4274876,-0.177718207,0.040677636,-0.204496046,-0.199866363,-309,-382,-0.053953907,-0.062911752,0,3.494464976
DZA,1/1/14,0.342194343,0.783529412,-0.205678682,0.350154612,0.65455532,0.128411055,-260,-327,-0.018740638,-0.02308202,0,2.621050017
DZA,1/1/13,0.031493465,0.052289603,-0.004644396,-0.032087687,0.23268513,-0.090775326,-250,-260,-0.018357223,-0.018740638,0,3.725326661
DZA,1/1/12,-0.163898321,-0.582352941,-0.423578344,-0.174090952,0.411115271,-0.050584639,-115,-250,-0.008558829,-0.018357223,0,4.82239636
DZA,1/1/11,-0.006944665,-0.068348235,-0.436058832,0.126487985,0.382907217,-0.039711457,-175,-115,-0.0131665,-0.008558829,0,3.338979636
DZA,1/1/10,0.163557954,0.44948415,0.35725231,0.051396141,0.099134852,-0.139477681,-112,-175,-0.008518457,-0.0131665,0,2.936231536
DZA,1/1/09,0.126124276,-0.309072442,0.326776126,-0.161272621,0.308191692,0.465998624,-212,-112,-0.016325636,-0.008518457,0,8.952970203
DZA,1/1/08,-0.00675933,-0.034027511,-0.105577052,0.601188868,-0.346023317,-0.14935764,30,-212,0.002326484,-0.016325636,0,4.816767674
DZA,1/1/07,0.159477267,0.331547703,0.218630863,-0.122545557,0.31771998,0.052033344,-68,30,-0.005281155,0.002326484,0,4.282396048
DZA,1/1/06,0.172563239,0.086487518,0.435331631,0.088831128,0.042132332,0.210033586,-203,-68,-0.015933778,-0.005281155,0,4.112183912
DZA,1/1/05,-0.103057527,0.371994451,0.016757542,-0.07316379,-0.130383354,-0.700492484,-20,-203,-0.001583657,-0.015933778,0,3.382646819
DZA,1/1/04,-0.504348835,-0.357509939,-1.208453553,-0.515014311,-0.309679887,-0.131086487,-531,-20,-0.04299039,-0.001583657,0,3.032139473
DZA,1/1/03,-0.166225457,-0.503866846,-0.215903785,0.188126138,-0.188073391,-0.111409399,-326,-531,-0.027339229,-0.04299039,0,2.981574539
DZA,1/1/02,-0.032728528,0.277997452,-0.012539737,-0.098883414,-0.174535111,-0.155681832,-633,-326,-0.055319682,-0.027339229,0,3.838284639
DZA,1/1/01,0.024539833,0.408368374,0.009550777,-0.195835367,-0.200870165,0.101485546,-439,-633,-0.040245589,-0.055319682,0,3.494464976
AGO,1/1/14,-0.601251767,-2.072211105,0.033387478,-0.095727576,-0.070213675,-0.801493956,-16,236,-0.001843106,0.02753645,0,2.621050017
AGO,1/1/13,0.0741329,-0.407296764,-0.003384805,-0.061975179,0.869545632,-0.026224384,-165,-16,-0.019207854,-0.001843106,0,3.725326661
AGO,1/1/12,0.293548347,0.982212405,0.312611345,-0.169323196,0.192193058,0.150048122,-318,-165,-0.038092999,-0.019207854,0,4.82239636
AGO,1/1/11,-0.109453957,0.035061202,0.282713106,-0.886686485,0.068963213,-0.047320821,-174,-318,-0.021474354,-0.038092999,0,3.338979636
AGO,1/1/10,0.113956904,-0.096682874,0.087293204,-0.101525864,-0.020766667,0.701466719,-76,-174,-0.009526269,-0.021474354,0,2.936231536
AGO,1/1/09,-0.014898452,1.366275157,-0.050091878,-0.331967484,-0.377986274,-0.68072178,-40,-76,-0.005050516,-0.009526269,0,8.952970203
AGO,1/1/08,-0.377086168,-1.797573529,0.031305686,-0.205422588,-0.123868706,0.210128297,36,-40,0.004546611,-0.005050516,0,4.816767674
AGO,1/1/07,-0.000438299,-0.068151815,-0.084915449,-0.579509586,0.427485893,0.30289946,-763,36,-0.101085393,0.004546611,0,4.282396048
AGO,1/1/06,-0.097233139,0.103685668,-0.022719697,-0.39212855,0.043487747,-0.218490862,-1149,-763,-0.174572487,-0.101085393,0,4.112183912
AGO,1/1/05,-0.880849248,-0.690048615,-0.397658075,-2.799030678,0.059316239,-0.576825113,-888,-1149,-0.159476924,-0.174572487,0,3.382646819
ARG,1/1/14,-0.441783066,-0.12924099,-0.086858045,-1.678235254,-0.177805369,-0.136775673,-319,627,-0.016492554,0.032678729,0,2.621050017
ARG,1/1/13,0.375807931,0.171160022,-0.116319106,1.470541185,0.248310357,0.105347198,690,-319,0.035337556,-0.016492554,0,3.725326661
ARG,1/1/12,0.20785205,0.251684344,0.370740443,0.327716368,-0.144817808,0.233936903,-274,690,-0.013883482,0.035337556,0,4.82239636
ARG,1/1/11,0.523593457,0.166332785,0.187326804,0.498381649,2.002675318,-0.23674927,404,-274,0.020403718,-0.013883482,0,3.338979636
ARG,1/1/10,0.002044223,0.307565653,0.062785734,-0.486335224,0.420499347,-0.294294393,-935,404,-0.047870725,0.020403718,0,2.936231536
ARG,1/1/09,0.235181925,-0.020938998,0.023899721,0.438722073,0.283284824,0.450942007,-1578,-935,-0.086382248,-0.047870725,0,8.952970203
ARG,1/1/08,0.048999094,-0.174934974,0.028564332,-0.130353481,0.349602448,0.172117144,1289,-1578,0.071109935,-0.086382248,0,4.816767674
ARG,1/1/07,0.171627649,0.637404663,-0.08894984,0.209270179,-0.006084242,0.106497485,-553,1289,-0.029890078,0.071109935,0,4.282396048
ARG,1/1/06,-0.104951552,0.554740164,-0.03401369,-0.935738129,-0.088541585,-0.021204519,-1350,-553,-0.076956652,-0.029890078,0,4.112183912
ARG,1/1/05,-0.096087953,0.074707588,0.059828263,-0.725446954,-0.246057317,0.356528657,-1100,-1350,-0.067402696,-0.076956652,0,3.382646819
ARG,1/1/04,0.275316917,0.461446075,-0.070483007,0.75071021,0.321422716,-0.086511406,-1126,-1100,-0.074049462,-0.067402696,0,3.032139473
ARG,1/1/03,-0.126686813,-0.042654119,-0.319571548,-0.192923318,0.08492308,-0.163208161,-1068,-1126,-0.075694949,-0.074049462,0,2.981574539
ARG,1/1/02,0.111880697,-0.160761311,-0.226941737,1.008810177,0.136838293,-0.198541937,-973,-1068,-0.074334542,-0.075694949,0,3.838284639
ARG,1/1/01,0.550032439,0.230078646,0.216245677,2.439799688,0.270084169,-0.406045985,1689,-973,0.125708823,-0.074334542,0,3.494464976
ARM,1/1/14,0.09941629,0.555068331,-0.216922251,-0.122953163,0.165936365,0.115952165,-307,-38,-0.031048659,-0.003776965,0,2.621050017
ARM,1/1/13,-0.029002798,0.231880209,0.052256111,-0.181662032,-0.308353705,0.060865429,-350,-307,-0.036614969,-0.031048659,0,3.725326661
ARM,1/1/12,-0.009515808,0.239215689,0.16631894,0.164643013,-0.74308869,0.12533201,-308,-350,-0.033368928,-0.036614969,0,4.82239636
ARM,1/1/11,-0.038433272,0.08510811,0.036782922,-0.192371071,0.049283934,-0.170970256,-612,-308,-0.069803726,-0.033368928,0,3.338979636
ARM,1/1/10,-0.1310347,-0.429557621,-0.257924634,0.030258372,0.227093257,-0.225042872,-386,-612,-0.046671913,-0.069803726,0,2.936231536
ARM,1/1/09,-0.01599052,0.169362681,-0.010799884,0.258170507,0.022191798,-0.518877703,-180,-386,-0.022531933,-0.046671913,0,8.952970203
ARM,1/1/08,0.089049744,0.505714057,0.056293284,-0.554813015,0.013420304,0.42463409,1295,-180,0.151814928,-0.022531933,0,4.816767674
ARM,1/1/07,-0.126256112,-0.729048122,0.107544582,0.097601349,-0.118911896,0.011533523,-603,1295,-0.067835954,0.151814928,0,4.282396048
ARM,1/1/06,0.005724821,-0.07198089,-0.086455638,0.452642989,-0.25463394,-0.010948419,-1044,-603,-0.12956501,-0.067835954,0,4.112183912
ARM,1/1/05,-0.133303253,-0.010891817,-0.065033328,-0.223036941,-0.198200718,-0.169353461,-887,-1044,-0.125030649,-0.12956501,0,3.382646819
ARM,1/1/04,-0.012387077,0.106198248,-0.451775564,-0.095449047,0.221949693,0.157141283,-828,-887,-0.13275949,-0.125030649,0,3.032139473
AUS,1/1/14,0.022032221,-0.027141539,0.027488457,-0.095323325,0.120062391,0.085075122,-490,-488,-0.010184657,-0.01004103,0,2.621050017
AUS,1/1/13,-0.107755797,0.130732599,-0.147513019,-0.012429589,-0.141831215,-0.367737759,-617,-490,-0.012973678,-0.010184657,0,3.725326661
AUS,1/1/12,0.103519042,0.304648866,-0.108274126,0.262597914,0.145654409,-0.087031852,-251,-617,-0.005326329,-0.012973678,0,4.82239636
AUS,1/1/11,0.053799817,0.020406874,0.239058546,-0.108110384,-0.048888088,0.166532138,-867,-251,-0.018619473,-0.005326329,0,3.338979636
AUS,1/1/10,0.021475332,-0.027369771,0.079850763,0.065562615,-0.141689523,0.131022578,-448,-867,-0.009758725,-0.018619473,0,2.936231536
AUS,1/1/09,-0.032481728,-0.433569938,0.023351587,0.151289855,-0.005246343,0.101766203,-437,-448,-0.009611758,-0.009758725,0,8.952970203
AUS,1/1/08,0.101710709,0.539838571,0.068400111,-0.197992655,-0.041991219,0.140298738,13,-437,0.000287271,-0.009611758,0,4.816767674
AUS,1/1/07,0.092482962,0.04262125,0.233599103,0.076230792,0.070424102,0.039539563,-115,13,-0.002544108,0.000287271,0,4.282396048
